_id,userId,chatty_score,safety_score,punctuality_score,friendliness_score,comfortibility_score,UTT
5d9429b2eea828feb7c072f1,5d942661a9cf770a818cf6ae,5,5,1,5,2,10
5d9429b2eea828feb7c072f2,5d942616a9cf770a818c7b0c,3,5,2,2,1,25
5d9429b2eea828feb7c072f3,5d9426aba9cf770a818d7607,3,1,4,4,3,25
5d9429e6eea828feb7c07305,5d9425d9a9cf770a818c1a1f,5,2,3,5,4,10
5d9429e6eea828feb7c07306,5d9425d1a9cf770a818c0c2a,5,3,2,1,3,10
5d9429e6eea828feb7c07307,5d94264fa9cf770a818cd851,3,2,3,3,3,15
5d9429e7eea828feb7c07308,5d9426a6a9cf770a818d6db6,3,3,5,2,5,15
5d942aa1eea828feb7c0731b,5d942626a9cf770a818c945a,2,5,5,1,4,10
5d942aa1eea828feb7c0731c,5d942664a9cf770a818cfc0d,4,5,4,1,2,20
5d942aa1eea828feb7c0731d,5d942684a9cf770a818d3266,2,4,4,2,2,30
5d942aa2eea828feb7c0731e,5d9426a3a9cf770a818d6851,2,4,3,1,1,10
5d942ab3eea828feb7c0732b,5d9425f9a9cf770a818c4af8,5,1,5,4,2,10
5d942ab3eea828feb7c0732c,5d9425f9a9cf770a818c4c1d,4,4,4,3,4,25
5d942ab3eea828feb7c0732d,5d9426b4a9cf770a818d8555,3,3,5,5,2,30
5d942b13eea828feb7c0733f,5d9425dfa9cf770a818c22a4,4,1,5,1,2,10
5d942b13eea828feb7c07340,5d9425d0a9cf770a818c0ae3,2,2,5,5,2,30
5d942b13eea828feb7c07341,5d942694a9cf770a818d4e61,1,1,4,2,1,10
5d942b13eea828feb7c07342,5d9426d2a9cf770a818db8bc,1,2,5,1,1,30
5d942bdbeea828feb7c07355,5d9425bca9cf770a818bed63,4,2,3,1,3,10
5d942bdbeea828feb7c07356,5d9425fea9cf770a818c536b,3,5,4,2,4,10
5d942bdbeea828feb7c07357,5d94269da9cf770a818d5ebd,3,1,3,3,1,25
5d942bdbeea828feb7c07358,5d94271ca9cf770a818e32de,3,2,5,2,2,30
5d942bebeea828feb7c0736b,5d9425faa9cf770a818c4c8b,3,5,2,3,2,10
5d942bebeea828feb7c0736c,5d9425cea9cf770a818c08b3,4,5,4,3,3,25
5d942bebeea828feb7c0736d,5d9425c9a9cf770a818bffb6,4,5,2,4,5,20
5d942beceea828feb7c0736e,5d9426aaa9cf770a818d7504,3,4,5,2,2,10
5d942bf9eea828feb7c07381,5d94267aa9cf770a818d2209,4,5,5,3,2,10
5d942bf9eea828feb7c07382,5d9425d6a9cf770a818c1539,2,5,3,2,4,25
5d942bf9eea828feb7c07383,5d942604a9cf770a818c5cb0,4,5,3,3,4,10
5d942bf9eea828feb7c07384,5d9426a2a9cf770a818d6702,4,3,3,5,1,25
5d942c41eea828feb7c07397,5d9425c9a9cf770a818bffb9,5,4,2,4,1,10
5d942c41eea828feb7c07398,5d942642a9cf770a818cc1fe,5,2,4,3,1,30
5d942c42eea828feb7c07399,5d9425cba9cf770a818c032a,5,1,5,3,3,25
5d942c42eea828feb7c0739a,5d9426f5a9cf770a818df122,5,5,3,2,1,30
5d942c4ceea828feb7c073a7,5d94266fa9cf770a818d0e85,4,4,4,5,3,10
5d942c4ceea828feb7c073a8,5d9425d6a9cf770a818c157c,3,2,1,4,2,30
5d942c4ceea828feb7c073a9,5d9426aea9cf770a818d7bfe,4,3,3,4,1,25
5d942c6beea828feb7c073bb,5d942624a9cf770a818c9105,5,2,2,1,3,10
5d942c6beea828feb7c073bc,5d942628a9cf770a818c97e5,4,4,2,1,4,10
5d942c6ceea828feb7c073bd,5d9425e6a9cf770a818c2e64,4,2,1,4,3,20
5d942c6ceea828feb7c073be,5d9426cfa9cf770a818db2af,4,4,3,2,4,15
5d942cb2eea828feb7c073cb,5d942618a9cf770a818c7e16,2,1,3,4,2,10
5d942cb3eea828feb7c073cc,5d9425cda9cf770a818c074c,3,1,1,5,4,20
5d942cb3eea828feb7c073cd,5d9426a8a9cf770a818d7085,5,4,1,5,5,15
5d942cceeea828feb7c073d9,5d9425d7a9cf770a818c1607,2,2,1,4,2,10
5d942cceeea828feb7c073da,5d94268ca9cf770a818d4179,3,2,2,5,4,10
5d942cceeea828feb7c073db,5d9426afa9cf770a818d7cdb,3,2,3,3,1,15
5d942d32eea828feb7c073ed,5d942695a9cf770a818d4ff8,4,5,1,1,5,10
5d942d32eea828feb7c073ee,5d942666a9cf770a818cff7d,2,4,3,1,2,15
5d942d32eea828feb7c073ef,5d942671a9cf770a818d1254,3,5,4,2,3,10
5d942d32eea828feb7c073f0,5d942787a9cf770a818edd8b,4,1,2,1,3,10
5d942d44eea828feb7c07404,5d942647a9cf770a818cca1d,4,5,2,3,1,10
5d942d44eea828feb7c07405,5d9425dca9cf770a818c1ee6,1,3,3,2,2,15
5d942d45eea828feb7c07406,5d9425ffa9cf770a818c5553,1,5,4,1,4,25
5d942d45eea828feb7c07407,5d9426a4a9cf770a818d69ed,3,2,3,3,1,10
5d942d82eea828feb7c07414,5d94260aa9cf770a818c6746,1,3,1,1,5,10
5d942d83eea828feb7c07415,5d942642a9cf770a818cc1e8,5,5,5,4,4,20
5d942d83eea828feb7c07416,5d942731a9cf770a818e5666,2,2,5,3,1,15
5d942deaeea828feb7c07428,5d9425e0a9cf770a818c245f,4,4,1,1,1,10
5d942deaeea828feb7c07429,5d942644a9cf770a818cc5e1,5,2,3,3,2,25
5d942deaeea828feb7c0742a,5d94262fa9cf770a818ca3c1,3,2,5,1,5,15
5d942deaeea828feb7c0742b,5d9426b8a9cf770a818d8c86,1,2,1,1,3,25
5d942e45eea828feb7c07438,5d942640a9cf770a818cbef4,1,4,4,3,1,10
5d942e45eea828feb7c07439,5d9425cfa9cf770a818c0959,5,4,1,1,3,25
5d942e46eea828feb7c0743a,5d9426c2a9cf770a818d9d22,4,2,3,4,3,30
5d942e4ceea828feb7c07446,5d9425cfa9cf770a818c0929,3,4,3,5,3,10
5d942e4deea828feb7c07447,5d9425bba9cf770a818bec05,2,2,1,4,3,30
5d942e4deea828feb7c07448,5d9426a6a9cf770a818d6dbb,2,3,5,1,2,20
5d942ebbeea828feb7c07454,5d94269ca9cf770a818d5d27,1,5,5,5,2,10
5d942ebceea828feb7c07455,5d942620a9cf770a818c8bb2,1,4,1,4,3,30
5d942ebceea828feb7c07456,5d9426b0a9cf770a818d7e88,2,5,1,4,1,30
5d942eedeea828feb7c07468,5d942671a9cf770a818d1134,1,1,3,1,3,10
5d942eeeeea828feb7c07469,5d94264fa9cf770a818cd889,1,3,5,4,2,15
5d942eeeeea828feb7c0746a,5d94269aa9cf770a818d58ed,1,1,5,4,2,10
5d942eeeeea828feb7c0746b,5d9426d3a9cf770a818db912,4,3,5,1,4,10
5d942f4feea828feb7c0747e,5d94264fa9cf770a818cd7b8,3,4,1,2,5,10
5d942f4feea828feb7c0747f,5d942610a9cf770a818c7168,3,4,4,4,4,15
5d942f4feea828feb7c07480,5d942616a9cf770a818c7af9,4,3,5,2,5,20
5d942f4feea828feb7c07481,5d94275ea9cf770a818ea282,3,2,1,1,3,10
5d942f62eea828feb7c07494,5d942695a9cf770a818d4fe9,2,2,3,1,2,10
5d942f62eea828feb7c07495,5d9425e7a9cf770a818c2f96,3,2,5,2,4,10
5d942f62eea828feb7c07496,5d94267fa9cf770a818d29f0,2,5,5,1,5,25
5d942f62eea828feb7c07497,5d9426a3a9cf770a818d68ad,5,2,5,2,2,20
5d942f7eeea828feb7c074aa,5d942663a9cf770a818cfa92,1,3,1,5,2,10
